dataset,path,n_examples,n_unique_problems,correct_count,correct_rate,max_solution_tokens_budget,mean_solution_tokens,median_solution_tokens,p10_solution_tokens,p90_solution_tokens,min_solution_tokens,max_solution_tokens,mean_prompt_chars,mean_completion_chars
cod,results/chain_of_draft/sft_merged.jsonl,1451,1451,1451,1.0,128,39.71536871123363,37.0,23.0,62.0,11,124,219.90696071674708,50.98070296347347
cot,results/standard_prompt/sft_merged.jsonl,1874,1874,1874,1.0,512,126.97545357524012,114.0,69.0,203.0,41,402,232.0528281750267,368.2870864461046
